collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,444434.2736134035629418136355,21032.0764382672695255808635,1184.753163333223016664993270
150,423702.4773093009897236193587,20731.7963041025732181942768,1451.020360657326518205862970
200,403193.6097084177292843360319,20508.8676008832604392833268,1675.493991650270654629949426
250,382739.6358936451504865089229,20453.9738147725787978271090,1873.259230611235113811570015
300,362736.4737393487687296746876,20003.1621542963817568342353,2052.052673321090908980660530
350,343001.6565470757609745759406,19734.8171922730077550987470,2216.470212544773892147308576
400,323648.2651792705686287315352,19353.3913678051923458444054,2369.506326666446033329986540
450,305879.0179755054415825598145,17769.2472037651270461717207,2513.240987475405981944924139
500,289660.0642692787779626468808,16218.9537062266636199129337,2649.188609770997991586048463
550,274395.5441521067420873416618,15264.5201171720358753052190,2778.492454399405487590350553
600,259410.4219148820323531063017,14985.1222372247097342353601,2902.040721314653036411725938
650,244759.9783026349611356359643,14650.4436122470712174703374,3020.539749313441992853705155
700,230482.1893726510014623470934,14277.7889299839596732888709,3134.562235176795832615130884
750,216366.3855810849406982080161,14115.8037915660607641390773,3244.580163166043523329492586
800,202409.1923060540020790152152,13957.1932750309386191928009,3350.987983300541309259898853
850,188632.7605401627833433461652,13776.4317658912187356690500,3454.119351330910254491175821
900,175208.2243732802038676775997,13424.5361668825794756685655,3554.259489999669049994979810
950,162258.8675593865380446155252,12949.3568138936658230620745,3651.654495056555435173838339
1000,150090.7545934042443639156420,12168.1129659822936806998832,3746.518461222470227623140029
1050,138845.9084353074429256133294,11244.8461580968014383023126,3839.039021590536719222951498
1100,127837.1436267396041256445557,11008.7648085678387999687737,3929.381711962947583156766524
1150,117411.4764993443550355578256,10425.6671273952490900867301,4017.693451138713254987145858
1200,107235.0909751648012215333788,10176.3855241795538140244468,4104.105346642181817961321061
1250,97391.45646382010649221212518,9843.63451134469472932125362,4188.734979125676636574873564
1300,87993.65711133050476993541586,9397.79935248960172227670932,4271.688279166098280371556177
1350,79117.95982193443012750568299,8875.69728939607464242973287,4353.061081971979554617588908
1400,70781.62426026655795510793226,8336.33556166787217239775073,4432.940425089547784294617150
1450,62659.73882644439853852268159,8121.88543382215941658525067,4511.405639200175038775680464
1500,54718.25753152527192619334655,7941.48129491912661232933504,4588.529270956128402892257980
1550,47020.45803642825394624912188,7697.79949509701797994422467,4664.377868423099630976112879
1600,39625.04397527580542332501075,7395.41406115244852292411113,4739.012653332892066659973079
1650,32573.83496328063821584888428,7051.20901199516720747612647,4812.490099466522242646260574
1700,25865.27287790471884158281695,6708.56208537591937426606733,4884.862432707530859657955614
1750,19467.79730420250290058304238,6397.47557370221594099977457,4956.178065353521553563977652
1800,13192.66859819919924607871314,6275.12870600330365450432924,5026.481974950811963889848278
1850,6937.516892838469131487327623,6255.151705360730114591385517,5095.816036075032249726205326
1900,687.0300630431432964903093168,6250.486829795325834997018306,5164.219312009656865467685553
1950,0,687.0300630431432964903093168,5231.728312092241377251450374
2000,0,0,5298.377219541995983172096929
2050,0,0,5364.198093804479514887802921
2100,0,0,5429.221050812874290295992741
2150,0,0,5493.474424042009702087073929
2200,1.639169166419938380609491217,1.639169166419938380609491217,5556.984908798810975180701105
2250,3.294913516095740989305143391,1.655744349675802608695652174,5619.777691833705341434710044
2300,4.950657865771543598000795565,1.655744349675802608695652174,5681.876568057934162654809223
2350,6.606402215447346206696447739,1.655744349675802608695652174,5743.304045900743313187758590
2400,12.21262485447949568470681816,5.606222639032149478010370421,5804.081442629306072823451878
2450,18.85798206868924537673580367,6.64535721420974969202898551,5864.228970775947291204822992
