collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,3256843.867955226732542368075,176776.376058553089570640315,17433.09364439831196109537897
150,3084040.053827788436678171197,172803.814127438295864196878,21351.09203346613901846703197
200,2916349.242978765662927912570,167690.810849022773750258627,24654.11746602829902930909905
250,2753689.336274723811798413463,162659.906704041851129499107,27564.14128965206935940032520
300,2600789.425111198103914920032,152899.911163525707883493431,30195.00392520395839188884153
350,2454828.417548520753510770661,145961.007562677350404149371,32614.33180444239706266077137
400,2312068.129382337030511003119,142760.288166183722999767542,34866.18728879662392219075792
450,2172222.600678011647298047681,139845.528704325383212955438,36981.17619904244854396364856
500,2034913.478951751008408215344,137309.121726260638889832337,38981.58244699417138906797408
550,1900924.529228885053844601365,133988.949722865954563613979,40884.22858608175451481388988
600,1768931.904302994108160541325,131992.624925890945684060040,42702.18406693227803693406393
650,1639800.100677537253935954493,129131.803625456854224586832,44445.84233753867464337370078
700,1514531.455536766744632936645,125268.645140770509303017848,46123.63036557861549001673147
750,1392434.461875375057221622756,122096.993661391687411313889,47742.49318068450157843470991
800,1274707.880676595834547489042,117726.581198779222674133714,49308.23493205659805861819811
850,1162681.573558295782645231497,112026.307118300051902257545,50825.76520940995094317752463
900,1053136.485473364666291644924,109545.088084931116353586573,52299.28093319493588328613690
950,949263.1699713906851819309735,103873.3155019739811097139505,53732.40328829921015728434966
1000,853706.5161276093698283432690,95556.6538437813153535877045,55128.28257930413871880065041
1050,761832.4386465442281621749598,91874.0774810651416661683092,56489.67974020377282451332482
1100,675016.7082496454575560741860,86815.7303968987706061007738,57819.03055359860493514810238
1150,595614.8402047582697415308876,79401.8680448871878145432984,59118.49686151661120364831954
1200,520948.5949851863202244589789,74666.2452195719495170719087,60390.00785040791678377768306
1250,453116.5248231465918822819919,67832.0701620397283421769870,61635.29366507074757327274763
1300,394384.4203744923898872410265,58732.1044486542019950409654,62855.91302484349909612075574
1350,339872.3998645769481463483880,54512.0205099154417408926385,64053.27610039841705540109590
1400,290327.3198496540193991136279,49545.0800149229287472347601,65228.66360888479412532154272
1450,243479.2327888400857680292665,46848.0870608139336310843614,66383.24286450784609240848971
1500,200072.5792934080206991070376,43406.6534954320650689222289,67518.08135762902639859454872
1550,158872.6827670264416435806269,41199.8965263815790555264107,68634.15831218878349308921653
1600,122499.1952764593747593995808,36373.4874905670668841810461,69732.37457759324784438151587
1650,96133.84113952425489171810892,26365.35413693511986768147188,70813.56113935348118136693421
1700,73446.09071750434308581534769,22687.75042201991180590276123,71878.48647713816399278432528
1750,52955.85810309782529800976960,20490.23261440651778780557809,72927.86295546657740406493613
1800,35901.92870518709823970572961,17053.92939791072705830403999,73962.35239808489708792729715
1850,21022.35391597218121646770932,14879.57478921491702323802029,74982.57096996391424919870112
1900,9062.459251944245239957454056,11959.89466402793597651025526,75989.09346921343254539969385
1950,6296.743518316789025503650859,2765.715733627456214453803197,76982.45711381285830729244608
2000,5749.546493891406061440008471,547.197024425382964063642388,77963.16489398834277813594814
2050,5747.001491891759963189468496,2.545001999646098250539975,78931.68854962116400207462014
2100,5769.134798608095492983479488,22.133306716335529794010992,79888.47122270883199145688345
2150,5792.308533496531475876616268,23.173734888435982893136780,80833.92982720039444334607683
2200,5817.432099014536411556118935,25.123565518004935679502667,81768.45717216350902962777979
2250,5842.555664532541347235621609,25.123565518004935679502674,82692.42386895620807820097564
2300,5867.684371369410710229520565,25.128706836869362993898956,83606.18004866804592411061912
2350,5892.859098741518984457440280,25.174727372108274227919715,84510.05691240232046784398164
2400,5918.036499613854179438702023,25.177400872335194981261743,85404.36813386455607386812787
2450,5943.213900486189374419963767,25.177400872335194981261744,86289.41113109904660258184667
