collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,1078306.001072315306137569369,65714.300333567021938881818,3162.375181377368575498287763
150,1013710.137726733063725431251,64595.863345582242412138118,3873.102784807978368486813607
200,950002.4101048660017242425571,63707.7276218670620011886939,4472.273870815951001967538022
250,887619.6029273026893165545534,62382.8071775633124076880037,5000.154194570289648227229946
300,828545.0683000642007231148473,59074.5346272384885934397061,5477.394486740446047028574413
350,773072.5214010599563967207887,55472.5468990042443263940586,5916.262228575606906684163193
400,720724.8516791594203125298474,52347.6697219005360841909413,6324.750362754737150996575524
450,670166.1081302951426536155746,50558.7435488642776589142728,6708.410806223926502951307031
500,621287.1001157802747334764207,48879.0080145148679201391539,7071.285875918023156030328640
550,573203.0122627570178688230991,48084.0878530232568646533216,7416.427194603443039719760272
600,525719.9382030433309862514775,47483.0740597136868825716216,7746.205569615956736973627217
650,479794.6464257867075620954244,45925.2917772566234241560531,8062.506379572362308718520411
700,435812.6605142049738045457441,43981.9859115817337575496803,8366.858282207295374707615783
750,393126.4371309881112658897059,42686.2233832168625386560382,8660.521110674379388862774459
800,352617.1889204590838387135495,40509.2482105290274271761564,8944.547741631902003935076044
850,315011.6713973957941680832796,37605.5175230632896706302699,9219.828778032059026968423646
900,279809.8977724930718415840107,35201.7736249027223264992689,9487.125544132105726494863288
950,249236.1310183814195874350998,30573.7667541116522541489109,9747.094925362103785163395050
1000,224653.2745912531331412687152,24582.8564271282864461663846,10000.30838914057929645445989
1050,200801.6993599657872437251363,23851.5752312873458975435789,10247.26677079362564762782792
1100,177585.9227555996894127639115,23215.7766043660978309612248,10488.41192296083462477093263
1150,155262.8612356840609676339362,22323.0615199156284451299753,10724.13600527346749061955900
1200,133635.3680314750465551910327,21627.4932042090144124429035,10954.78897348089209405714883
1250,113310.1116193438696825732980,20325.2564121311768726177347,11180.68467703987750491884505
1300,94424.30922982898400617150284,18885.80238951488567640179516,11402.10586871083574851783959
1350,77395.66720311662391589046895,17028.64202671236009028103389,11619.30835442393510546044082
1400,62083.75414774427732364806183,15311.91305537234659224240712,11832.52445715121381336832639
1450,47283.39843327535336277144902,14800.35571446892396087661281,12041.96592849263128725696908
1500,33345.13312190682792652105467,13938.26531136852543625039435,12247.82641193420784409812041
1550,20061.30246190457853262049060,13283.83066000224939390056407,12450.28353937246460219619690
1600,7962.229251079674607206592385,12099.07321082490392541389822,12649.50072550947430199315105
1650,3839.649356083550934337905989,4122.579894996123672868686396,12845.62871168867659203450211
1700,1293.846083016813322555580415,2545.803273066737611782325574,13038.80690065069801460635364
1750,232.4338377596387691836423922,1061.412245257174553371938023,13229.16451580945583047334838
1800,37.63044148487777041907792310,194.8033962747609987645644691,13416.82161244785300590261406
1850,3.361286586868306566029385098,34.26915489800946385304853800,13601.88996331552370198012175
1900,0.5095524145556463137821757,2.851734172312660252247209398,13784.47383718505779068227429
1950,20.01807421128913369180621770,19.50852179673348737802404200,13964.67068576753525997119187
2000,45.08450373116051477339309350,25.06642951987138108158687580,14142.57175183604631206065728
2050,70.15243974974211486347137496,25.06793601858160009007828146,14318.26260932962034875051934
2100,95.22037576832371495354965641,25.06793601858160009007828145,14491.82364451149538995947836
2150,120.2883117869053150436279379,25.06793601858160009007828149,14663.33048585887302022313437
2200,147.1354677366122300879731738,26.8471559497069150443452359,14832.85438920688607943952054
2250,175.3065754469486940416577518,28.1711077103364639536845780,15000.46258371086894468168984
2300,205.5205736635113518286777124,30.2139982165626577870199606,15166.21858339136329024373964
2350,235.7345718800740096156976733,30.2139982165626577870199609,15330.18246835637970050415337
2400,266.6389429676525526791556536,30.9043710875785430634579803,15492.41113923191347394725443
2450,298.9401020764130545966103971,32.3011591087605019174547435,15652.95854785582850688638307
