#,block,timestamp,protocol_id,user,collateral,debt,deposit,id
1,61611,1684875854,zkLend,0x0514f1498aed7c2e4499fb8a9bc216aeef4d4eed13fff28d7ff54d6d6bb01e61,"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 1715403.2769719926}",{},"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 1715403.2769719926}",0d5e0ecc-4a7a-41e7-9603-d5243ec44a0d
2,85603,1687169814,zkLend,0x04ac055dfef29b0c0180755dbcaefe684158b15b2677ed3d03757f896cda161a,{},{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 5.884258476915483e+16}",74ec527c-9202-4fc5-b364-862ea58bc0dd
3,61611,1684875854,zkLend,0x07f07fa75dce9ef8c1ad1af5abed35eb44505fac86eea61b2cae7169a093291c,{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 1.3047584849033636e+16}","{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 30021523.549181923}",ec994981-74f0-4a85-9c72-7762471812a7
4,75607,1686154030,zkLend,0x007d4bf9fe59d781198af72e8b2152bb3cf127c0052f0c027b2cebef2598442b,{},{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 7999331321764696.0}",d18d8211-a805-424f-bd2a-037086a74877
5,79607,1686494339,zkLend,0x03c64c1adff8cd145f4193c08ea9c76daabe04c860990a068f157fe9ac81e35b,{},{},"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 6679645.777178112}",7902334c-40d0-4b93-8af7-3a182d23650d
6,61611,1684875854,zkLend,0x062d1d2e137c260eeeddc6b78a4dd6d199ab4870ec97eeedbfb385764a5769a9,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 4375955424430207.0}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 4375955424430207.0}",c985cef2-3e27-4352-b5da-599ecc0c8f82
7,61611,1684875854,zkLend,0x073c32c7287d1d768c008ca127aa551fa30cf87484a5e3d5740147f8a0a4330f,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 9.999776949957578e+16}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 9.999776949957578e+16}",f643a5f3-7775-4e63-ae08-4c73fb95ec51
8,61611,1684875854,zkLend,0x02b565c74b86051102ba70caf0aa0c434284cf7ec65ede5658307b2da24dbda7,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 3096742317368203.5}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 3096742317368203.5}",94fbb184-2e6a-4908-8317-36fbdd587c11
9,73608,1685990194,zkLend,0x03e8998a82aa1a245754530cdeaea48c02aa3cbaf9177b42ca988d9babd149b7,{},"{""0x068f5c6a61780768455de69077e07e89787839bf8166decfbf92b645209c0fb8"": -26575855.0}",{},74be2957-7de9-4705-8acb-e2143acbb773
10,87603,1687430027,zkLend,0x016fb92417edbde99359f72e4233316407b17cd94b60066e9ced64405303f702,"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 17399350.29157371}",{},"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 17399350.29157371}",4cd1b4c8-7b08-427d-a797-a2b2c96750a2
11,61611,1684875854,zkLend,0x01bf6ae2ad13308fc9bd3358cba241890bb704687bbfbf9fd4eacf92de4746da,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 121997278586476.3}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 121997278586476.3}",51c2f279-8114-4e88-aab6-6ec1b9c61fcb
12,59612,1684626391,zkLend,0x070225e5d6afc2b9132c716b434ba864e23805bb8ea48d5c972ee4a4d497833e,{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 4.9400683292592696e+16}","{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 1158195.7527528764}",6a906512-3a6a-4923-8666-6e3715a28d52
13,59612,1684626391,zkLend,0x05c8b14d0e2ae3b68b111b0d7cd112a55682cacedc900febdb46905b0fd9d65a,{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 7.799002778451026e+16}","{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 1812655.954566153}",4321c3e7-4734-4938-8cdb-d1561673926e
14,61611,1684875854,zkLend,0x015430f5bd7573cb3ded9c326b7375f670b83e6d63baa8eee0d568e5b5c2e9c2,"{""0x00da114221cb83fa859dbdb4c44beeaa0bb37c7537ad5ae66fe5e0efd20e6eb3"": 9.19465434558463e+17}",{},"{""0x00da114221cb83fa859dbdb4c44beeaa0bb37c7537ad5ae66fe5e0efd20e6eb3"": 9.19465434558463e+17}",2951ea99-595d-4bc5-9aef-0d0b1af99e02
15,61611,1684875854,zkLend,0x03eb266094d13d11b7b19e3d777c88dcc75b2f364cc0d3417bd3042634f6821f,"{""0x00da114221cb83fa859dbdb4c44beeaa0bb37c7537ad5ae66fe5e0efd20e6eb3"": 9.940216017490213e+17}",{},"{""0x00da114221cb83fa859dbdb4c44beeaa0bb37c7537ad5ae66fe5e0efd20e6eb3"": 9.940216017490213e+17}",f5a81600-1cb2-4ade-87be-168d541c0cac
16,61611,1684875854,zkLend,0x0509dbfb262e61307fff8890615f7fd4bdb6e0fc204fef680effac2c80ab84ff,{},"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 0.0}","{""0x0000000000000000000000000000000000000000000000000597c6c5391e3de9"": -4.17404284944524e+75}",8d323231-31de-44f8-a783-ff0c7d2f7b8b
17,61611,1684875854,zkLend,0x04b57d1a217b75610cd7808b2feeac8737aff413745b20970ba617ae1bdc94ae,{},{},"{""0x068f5c6a61780768455de69077e07e89787839bf8166decfbf92b645209c0fb8"": 26977936.716226805}",1f964880-9ba2-4cb8-b0f4-6f8de0c345af
18,59612,1684626391,zkLend,0x06db5e5560de4a1d209bdfdb7159078686fa2d5e3275798c13ff285430f3096b,{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": -2.168290301468851e+16}","{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 1549423.9894622408}",7c8c705c-3473-4d72-84c6-fcbdd0c669da
19,61611,1684875854,zkLend,0x016fe69358a1344f1004d7629c5f033a2995b6135db32ef1a6cd75bc853caba8,"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 238871.82836611467}",{},"{""0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8"": 238871.82836611467}",a274dbb1-02f9-420f-b2ba-cddb6af67c3e
20,75607,1686154030,zkLend,0x0205658da74b2534f8123976bb5bc766d7df2be75c2dd14d477bca3add0d3d0f,{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": -6891083896654415.0}","{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 1.0499121236159634e+16}",ac3da125-d9ff-4938-adcc-44fe2ecfb1f3
21,81604,1686676010,zkLend,0x02896582232078fdc016f3e958ca108c585ce57ff13a931397bbc37f158ef178,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 4.999490626755813e+16}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 4.999490626755813e+16}",d9ba85c3-bed8-4ca7-b804-8f6652013284
22,87603,1687430027,zkLend,0x067a37bd5fe7b63a3d545ff007db4dd40d39150fbb8e17459438d95a64f685fb,{},{},"{""0x000000000000000000000000000000000000000000000000063f9d7202c633e3"": -4.17404284944524e+75}",cf05f596-1519-4206-bfb8-a6ec78c13d4b
23,135603,1690724042,zkLend,0x02f5d193a9e31053cf409ae820e4ecc73fb2fd1b0b66ee58cb8a781d93a0f3cd,"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 3599196522409003.5}",{},"{""0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7"": 3599196522409003.5}",8e93c8fb-3e30-4035-a44b-2e52f343c667
