collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,3402451.946193338780328938568,221572.462168652007635768069,17891.53896301701224858785923
150,3184863.400707931445595032165,217588.545485407334733906403,21912.57058625787516664129344
200,2973394.181898757757448319421,211469.218809173688146712744,25302.45705322531976121721333
250,2767686.505980839345076740993,205707.675917918412371578428,28289.00698439041470634036743
300,2583920.141081900584124770242,183766.364898938760951970751,30989.05450954364948221745801
350,2414328.732171640819948046225,169591.408910259764176724017,33472.00446086319358942212249
400,2256806.588447516426752818904,157522.143724124393195227321,35783.07792603402449717571846
450,2107996.072455729885142309725,148810.515991786541610509179,37953.68557983797964182582001
500,1963421.777881221756386806790,144574.294574508128755502935,40006.69734339213522190324993
550,1821549.058980690351919992236,141872.718900531404466814554,41959.37815981496719734161729
600,1682176.403794532742422989965,139372.655186157609497002271,43825.14117251575033328258688
650,1547495.564347512010492391326,134680.839447020731930598639,45614.65315031468184482244478
700,1416543.872733221551427573165,130951.691614290459064818161,47336.56266836546573860832127
750,1288077.485978144822162699915,128466.386755076729264873250,48997.99739263502792504054703
800,1163400.134609178683456503769,124677.351368966138706196146,50604.91410645063952243442666
850,1046400.329882121916881705602,116999.804727056766574798167,52162.35150905128491761305499
900,936170.2998403891811306532303,110230.0300417327357510523717,53674.61688905103674576357769
950,835519.0545409454595806557834,100651.2452994437215499974469,55145.42665914355519164886837
1000,747669.7588932380310191262409,87849.2956477074285615295425,56578.01396878082941268073483
1050,665927.3753647237872122222950,81742.3835285142438069039459,57975.21235738715767979027825
1100,589878.7649768143548832453552,76048.6103879094323289769398,59339.52166235176626329032271
1150,520452.9082278447997385019660,69425.8567489695551447433892,60673.16057656212505178691504
1200,456774.4975554178165007582537,63678.4106724269832377437123,61978.10901908729896443491602
1250,397538.1850719960627780677143,59236.3124834217537226905394,63256.14263306329940304303334
1300,343770.6043831820518336900888,53767.5806888140109443776255,64508.86112811964887585184141
1350,293342.3805735415468326389767,50428.2238096405050010511121,65737.71175877362549992388032
1400,247401.1214238940657525864015,45941.2591496474810800525752,66944.00892172638717884424501
1450,205887.0098106953486457931498,41514.1116131987171067932517,68128.95062853060014681767963
1500,168430.5653611065755378867451,37456.4444495887731079064047,69293.63244178600563623124360
1550,134368.9907499955460705976787,34061.5746111110294672890664,70439.05933649253328011150187
1600,103467.9765236713174856520726,30901.0142263242285849456061,71566.15585206804899435143692
1650,79679.64143945605253686251033,23788.33508421526494878956227,72675.77482679542639048425689
1700,59936.92193013443873305847488,19742.71950932161380380403545,73768.70494937300796589476565
1750,43009.27184981479750610265632,16927.65008031964122695581856,74845.67731766629991095981633
1800,30368.34819403723005671259257,12640.92365577756744939006375,75907.37115967595928365163999
1850,19687.41814243745101411029029,10680.93005159977904260230228,76954.41884391944078207066720
1900,14439.47338082676058310567087,5247.94476161069043100461942,77987.41028421165270750844991
1950,13030.61242343039595023812085,1408.86095739636463286755002,79006.89682597677742261718450
2000,13081.70640408859638838511108,51.09398065820043814699023,80013.39468678427044380649988
2050,13476.78856566982085071501537,395.08216158122446232990429,81007.38801205538964276905490
2100,13885.13733790556913434758499,408.34877223574828363256962,81989.33159727717395915949358
2150,14294.44312619156097956828037,409.30578828599184522069538,82959.65332015829439520355477
2200,14704.69408775340953088282361,410.25096156184855131454324,83918.75631962993439468323457
2250,15114.97479492540522278436235,410.28070717199569190153874,84867.02095317124411902110226
2300,15525.28756173303640876880379,410.31276680763118598444144,85804.80655941475239004215001
2350,15935.60478526209525377382203,410.31722352905884500501824,86732.45304919700500254895352
2400,16345.92539462142129380307117,410.32060935932604002924914,87650.28234503150066656517379
2450,16756.24600398074733383232027,410.32060935932604002924910,88558.59968628861916426024667
