collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,2272187.308479846822540178425,121870.743428570977099104991,11138.51013166897158838775876
150,2150923.621221693815921880151,121263.687258153006618298274,13641.83315870482621355847340
200,2030994.242920121292082959818,119929.378301572523838920333,15752.23209283638829604378941
250,1916224.073403885510793372563,114770.169516235781289587255,17611.53087846797113228332708
300,1804966.631430068310487464831,111257.441973817200305907732,19292.46546867136399415897394
350,1694536.450914814765262816258,110430.180515253545224648573,20838.24435590779700767885840
400,1584982.967862269024351453989,109553.483052545740911362269,22277.02026333794317677551753
450,1476523.094849326543095934266,108459.873012942481255519723,23628.34813925458244406568411
500,1369424.149928628326742546423,107098.944920698216353387843,24906.46582248195353047403276
550,1263379.502296953666132200412,106044.647631674660610346011,26122.12173126654387287107220
600,1159978.640505481688393688279,103400.861791471977738512133,27283.66631740965242711694681
650,1058411.077437712550000067443,101567.563067769138393620836,28397.74025686551261050041481
700,963002.8356453811443179999986,95408.2417923314056820674444,29469.72778416940714471139384
750,873440.5159238251265319920666,89562.3197215560177860079320,30504.06628057466834434194937
800,788646.5856436453665402896630,84793.9302801797599917024036,31504.46418567277659208757882
850,705208.2056165831223389544195,83438.3800270622442013352435,32474.05837900438356173904730
900,623613.9054925872709894042498,81594.3001239958513495501697,33415.53039500691476516327628
950,545314.6450297855221712440481,78299.2604628017488181602017,34331.19391393601304842904187
1000,472527.5621042499588211750505,72787.0829255355633500689976,35223.06175693594226456665415
1050,403938.2064632417831922822489,68589.3556410081756288928016,36092.89796496769907579476378
1100,337457.0183143635098409565587,66481.1881488782733513256902,36942.25883031810006401281891
1150,273520.5237059458960401494000,63936.4946084176138008071587,37772.52561668152213542165461
1200,216215.7392867854323525831530,57304.7844191604636875662470,38584.93093734272798831794788
1250,164540.3318422875641998482853,51675.4074444978681527348677,39380.58023209097074010947352
1300,122333.3792697119392876934438,42206.9525725756249121548415,40160.46941200762783084462912
1350,85457.74850413849363759087004,36875.63076557344565010257376,40925.49947611447864067542020
1400,59119.45687826169722459498052,26338.29162587679641299588952,41676.48871181559401535771682
1450,42553.44165627491365215074448,16566.01522198678357244423604,42414.18295007860688926251117
1500,36202.26077112533239794100784,6351.18088514958125420973664,43139.26424151650922382142410
1550,33669.38201143253003661820841,2532.87875969280236132279943,43852.35824076090810543729867
1600,32222.72636962028038596903077,1446.65564181224965064917764,44554.04052667588635355103505
1650,31602.48093376566722317214280,620.24543585461316279688797,45244.84204005273635878464848
1700,31459.89983864894025650644233,142.58109511672696666570047,45925.25378488364568616475410
1750,31425.84532836580356048167383,34.05451028313669602476850,46595.73091156115547382645294
1800,31413.71428365062871069429269,12.13104471517484978738114,47256.69627850916488813136823
1850,31424.24548492714926705077310,10.53120127652055635648041,47908.54357143314495174111121
1900,31445.13591804492799206195097,20.89043311777872501117787,48551.64004554896892203750952
1950,31488.61722140932680824619958,43.48130336439881618424861,49186.32894503512802710698182
2000,31539.45199575725215167379537,50.83477434792534342759579,49812.93164496390706094806553
2050,31608.91594095448799463297162,69.46394519723584295917625,50431.74955365412247229144899
2100,31680.45564070710664128149089,71.53969975261864664851927,51043.06580740560245255781616
2150,31753.18773978810376972860143,72.73209908099712844711054,51647.14678465583070470633789
2200,31829.58441279952166543427577,76.39667301141789570567434,52244.24346253308774574214439
2250,31929.16440895129902529431338,99.57999615177735986003761,52834.59263540391339684998124
2300,32032.46945100178612834919942,103.30504205048710305488604,53418.41801219616432703533450
2350,32143.55130730998309373710749,111.08185630819696538790807,53995.93120691937630230854346
2400,32256.09964357449274981174495,112.54833626450965607463746,54567.33263481930485423389360
2450,32370.50197097629810354591025,114.40232740180535373416530,55132.81232492735903615326293
