collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
500,531069.1595972446363821169800,5306.7086548745789955003506,127.1855316323373968580890338
750,525799.1100307738062454834855,5270.0495664708301366334945,155.7698275819179459344483179
1000,520530.5071729830520893720105,5268.6028577907541561114750,179.8675037720838365277213471
1250,515262.0169958777896163564577,5268.4901771052624730155528,201.0979826887896492615331287
1500,509993.5361627489674457205224,5268.4808331288221706359353,220.2918027748669765351858885
1750,504725.0560985286672453237952,5268.4800642203002003967272,237.9423419614530019879094679
2000,499456.5975413170263438958359,5268.4585572116409014279593,254.3710632646747937161780677
2250,494188.1840616266547097163595,5268.4134796903716341794764,269.8012556581257547915820206
2500,488920.1579694729275812514343,5268.0260921537271284649252,284.3954944843562090160785639
2750,483652.6483980100432603470921,5267.5095714628843209043422,298.2765109949183229437131662
3000,478385.1388265471589394427503,5267.5095714628843209043418,311.5396551638358918688966357
3250,473117.6292550842746185384070,5267.5095714628843209043433,324.2607538199803910648726599
3500,467850.1691662096686941951200,5267.4600888746059243432870,336.5012870647036263230109440
3750,462585.8408640180664969919628,5264.3283021916021972031572,348.3119233165902179825133219
4000,457321.6337464078884996215997,5264.2071176101779973703631,359.7350075441676730554426941
4250,452057.4266287977105022512364,5264.2071176101779973703633,370.8063583342423228169490842
4500,446793.4063407828674164568499,5264.0202880148430857943865,381.5565948970121905742671015
4750,441530.4819786921430143421317,5262.9243620907244021147182,392.0121360847171750722603472
5000,436268.6578072823964353594122,5261.8241714097465789827195,402.1959653775792985230662575
5250,431006.8354663523934232797943,5261.8223409300030120796179,412.1282255491646304963447100
5500,425747.8618855974308016544005,5258.9735807549626216253938,421.8266871863410948153414172
5750,420495.4699690905592882671212,5252.3919165068715133872793,431.3071223048645769731532094
6000,415243.0780525836877748798418,5252.3919165068715133872794,440.5836055497339530703717770
6250,409990.6949319654534024813766,5252.3831206182343723984652,449.6687594302095913193033676
6500,404738.3859371633532098989682,5252.3089948021001925824084,458.5739557975396573889444950
6750,399486.0769423612530173165615,5252.3089948021001925824067,467.3094827457538378033449538
7000,394233.7699877671266622009197,5252.3069545941263551156418,475.8846839229060039758189359
7250,388981.5854489797801139969047,5252.1845387873465482040150,484.3080756302792649354868648
7500,383730.2085124094936763790711,5251.3769365702864376178336,492.5874458905793598954199068
7750,378479.9329004163517211945455,5250.2756119931419551845256,500.7299387667014633515085109
8000,373229.6572884232097660100205,5250.2756119931419551845250,508.7421265293495874323561353
8250,367979.3833228048840162348604,5250.2739656183257497751601,516.6300717475753884513437318
8500,362729.1094357601630649438598,5250.2738870447209512910006,524.3993809704632382808020541
