collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,564.4565801854560215445399950,0E-25,77118.25120258528011643165202
150,564.4565801854560215445399950,0E-25,94450.18265105456641926852620
200,534.4887401854560204007082990,29.9678400000000011438316960,109061.6767571913502981560266
250,226.4520758603040086433677569,308.0366643251520117573405421,121934.6614845943425897240951
300,226.4520758603040086433677569,0E-25,133572.7292737373769376829450
350,226.4520758603040086433677569,0E-25,144275.0371336208009160249397
400,226.4520758603040086433677569,0E-25,154236.5024051705602328633040
450,226.4520758603040086433677569,0E-25,163592.5151357870254472340398
500,226.4520758603040086433677569,0E-25,172441.6519948855918360741379
550,226.4520758603040086433677569,0E-25,180858.3304053140733180827707
600,226.4520758603040086433677569,0E-25,188900.3653021091328385370525
650,226.4520758603040086433677569,0E-25,196613.7338680662943957271551
700,226.4520758603040086433677569,0E-25,204035.7142262484448409781984
750,226.4520758603040086433677569,0E-25,211197.0288950293093627074708
800,226.4520758603040086433677569,0E-25,218123.3535143827005963120531
850,226.4520758603040086433677569,0E-25,224836.4064884352554229821128
900,226.4520758603040086433677569,0E-25,231354.7536077558403492949560
950,226.4520758603040086433677569,0E-25,237694.4137988479043243035902
1000,226.4520758603040086433677569,0E-25,243869.3229691886851794481903
1050,226.4520758603040086433677569,0E-25,249891.6945793176677067333570
1100,226.4520758603040086433677569,0E-25,255772.3037273494669646575919
1150,226.4520758603040086433677569,0E-25,261520.7136887402061320944828
1200,226.4520758603040086433677569,0E-25,267145.4585474747538753658902
1250,226.4520758603040086433677569,0E-25,272654.1918929783757453900662
1300,226.4520758603040086433677569,0E-25,278053.8089850336828821103709
1350,226.4520758603040086433677569,0E-25,283350.5479531636992578055786
1400,196.4842358603040074995360609,29.9678400000000011438316960,288550.0742672416018320498795
1450,196.4842358603040074995360609,0E-25,293657.5517399529894846214712
1500,196.4842358603040074995360609,0E-25,298677.7025962528894905971061
1550,196.4842358603040074995360609,0E-25,303614.8585995886549881538154
1600,196.4842358603040074995360609,0E-25,308473.0048103411204657266081
1650,196.4842358603040074995360609,0E-25,313255.8172340830752919101584
1700,196.4842358603040074995360609,0E-25,317966.6953711752844293144252
1750,196.4842358603040074995360609,0E-25,322608.7904870825199978502314
1800,196.4842358603040074995360609,0E-25,327185.0302715740508944680796
1850,166.3504539409440063493705875,30.1337819193600011501654734,331698.1404350698964790207512
1900,166.3504539409440063493705875,0E-25,336150.6636946532551868785361
1950,166.3504539409440063493705875,0E-25,340544.9765253165455308099637
2000,166.3504539409440063493705875,0E-25,344883.3039897711836721482758
2050,166.3504539409440063493705875,0E-25,349167.7329095193513357164428
2100,166.3504539409440063493705875,0E-25,353400.2235984662843612789711
2150,166.3504539409440063493705875,0E-25,357582.6203462893260055607308
2200,166.3504539409440063493705875,0E-25,361716.6608106281466361655416
2250,166.3504539409440063493705875,0E-25,365803.9844537830277691722854
2300,166.3504539409440063493705875,0E-25,369846.1401401075296430365727
2350,166.3504539409440063493705875,0E-25,373844.5929939452542354457051
2400,166.3504539409440063493705875,0E-25,377800.7306042182656770741049
2450,166.3504539409440063493705875,0E-25,381715.8686501697260435460929
