collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
100,95.53306637718200273105739751,0E-26,2706.717157091493792074544257
150,95.53306637718200273105739751,0E-26,3315.037956455429097296076281
200,65.55052637718200187392969536,29.98254000000000085712770215,3827.876113066737765408047645
250,29.98254000000000085712770215,35.56798637718200101680199321,4279.695599132448310763513142
300,29.98254000000000085712770215,0E-26,4688.171637800857526068717388
350,29.98254000000000085712770215,0E-26,5063.804122369575225915781383
400,29.98254000000000085712770215,0E-26,5413.434314182987584149088512
450,29.98254000000000085712770215,0E-26,5741.814169600106648112071467
500,29.98254000000000085712770215,0E-26,6052.403559121557073760444126
550,29.98254000000000085712770215,0E-26,6347.814405503205995098054544
600,29.98254000000000085712770215,0E-26,6630.075912910858194592152565
650,0,29.98254000000000085712770215,6900.801800892957021003712519
700,0,0,7161.300467055841106826981112
750,0,0,7412.650218626327246099519854
800,0,0,7655.752226133475530816095287
850,0,0,7891.368767976465272799447074
900,0,0,8120.151471274481376223632772
950,0,0,8342.662572625591554835102619
1000,0,0,8559.391198264896621527026282
1050,0,0,8770.766019520832706381366117
1100,0,0,8977.165223689939478152655591
1150,0,0,9178.924465190612420744253538
1200,0,0,9376.343275601715052137434776
1250,0,0,9569.690282666844413520119110
1300,0,0,9759.207498071498514061508331
1350,0,0,9945.113869366287291888228849
1400,0,0,10127.60824473915045183156277
1450,0,0,10306.87186507890691245450843
1500,0,0,10483.07047230924009675229073
1550,0,0,10656.35610383064307342065419
1600,0,0,10826.86862836597516829817703
1650,0,0,10994.73706734918066371402303
1700,0,0,11160.08073735977910121530929
1750,0,0,11323.01024236203364675743136
1800,0,0,11483.62833920021329622414293
1850,0,0,11642.03069559297194636404254
1900,0,0,11798.30655650952762479023588
1950,0,0,11952.53933210940898050710926
2000,0,0,12104.80711824311414752088825
2050,0,0,12255.18315873393606589402585
2100,0,0,12403.73625720744773097901014
2150,0,0,12550.53114503961354456549858
2200,0,0,12695.62881100641199019610909
2250,0,0,12839.08679739734493229053942
2300,0,0,12980.95946667077227178947961
2350,0,0,13121.29824215562404727058874
2400,0,0,13260.15182582171638918430513
2450,0,0,13397.56639573358217892816675
