token,borrowings
ETH,32.77616999999999961801222526
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,28.09385999999999967258190736
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,31.21539999999999963620211929
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,31.21539999999999963620211929
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,90.00677639251199991553420432
ETH,31.63836866999999963127265801
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,29.9090355099999996514270606
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,31.98220799999999996998667484
ETH,28.09542076999999967256371747
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,54.62694999999999936335370876
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,30.99748900000000007004530289
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,34.99716500000000007908340649
DAI,0E-52
USDT,0E-51
ETH,29.65462999999999965439201333
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,30.99748900000000007004530289
DAI,0E-52
USDT,0E-51
