collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
500,0,0,27.76820453473932733586585104
750,0,0,34.00896609167465728552696833
1000,0,0,39.27017145577843647916265904
1250,0,0,43.90538643159623024400197599
1500,0,0,48.09594108913301248856267824
1750,0,0,51.94955380742853020185162705
2000,0,0,55.53640906947865467173170210
2250,0,0,58.90525718366765471874398856
2500,0,0,62.09159295279505641249556108
2750,0,0,65.12221208587088209216619409
3000,0,0,68.01793218334931457105393669
3250,0,0,70.79530839003574342969434667
3500,0,0,73.46776355369628507019367023
3750,0,0,76.04636002546987829676455799
4000,0,0,78.54034291155687295832531807
4250,0,0,80.95753242414507294694894945
4500,0,0,83.30461360421798200759755314
4750,0,0,85.58735443562687055458290865
5000,0,0,87.81077286319246048800395195
5250,0,0,89.97926662499942990086937115
5500,0,0,92.09671554357568493189628564
5750,0,0,94.16656309675878809326262127
6000,0,0,96.19188217826602497712535648
6250,0,0,98.17542863944609119790664757
6500,0,0,100.1196852775743130617371274
6750,0,0,102.0268982750239718565809050
7000,0,0,103.8991076148570604037032541
7250,0,0,105.7381726468979946428902611
7500,0,0,107.5457937171266877146673735
7750,0,0,109.3235305768539703952245114
8000,0,0,111.0728181389573093434634042
8250,0,0,112.7949800340043623854688883
8500,0,0,114.4912403304855529277052141
8750,0,0,116.1627337141932128265445065
9000,0,0,117.8105143673353094374879771
9250,0,0,119.4355637447978818579711355
9500,0,0,121.0387974104965944898772479
9750,0,0,122.6210710690491235976114892
10000,0,0,124.1831859055901128249911221
10250,0,0,125.7258933283192612272460813
10500,0,0,127.2498991934589808806721040
10750,0,0,128.7558675800331495871291396
11000,0,0,130.2444241717417641843323882
11250,0,0,131.7161592947886907320059280
11500,0,0,133.1716306534980748182486403
11750,0,0,134.6113657996726030883717938
12000,0,0,136.0358643666986291421078734
12250,0,0,137.4456000952245276770693066
12500,0,0,138.8410226736966366793292552
12750,0,0,140.2225594140240418189449273
13000,0,0,141.5906167800714868593886933
13250,0,0,142.9455817844770611036900110
13500,0,0,144.2878232673990374656880347
13750,0,0,145.6176930691656642109268176
14000,0,0,146.9355271073925701403873405
14250,0,0,148.2416463679112532464635583
14500,0,0,149.5363578177909699384745492
14750,0,0,150.8199552478118639632982274
15000,0,0,152.0927200509397565935291160
15250,0,0,153.3549219426461419459987161
15500,0,0,154.6068196282966362022172456
15750,0,0,155.8486614222855906055548811
16000,0,0,157.0806858231137459166506361
16250,0,0,158.3031220481811174559774692
16500,0,0,159.5161905316914390330651364
16750,0,0,160.7201033887311944517161227
17000,0,0,161.9150648482901458938978989
17250,0,0,163.1012716577266975565431600
17500,0,0,164.2789134609464142716860835
17750,0,0,165.4481731523520928699501661
18000,0,0,166.6092272084359640151951063
18250,0,0,167.7622459987162832865417842
18500,0,0,168.9073940775694889564391078
18750,0,0,170.0448304583732864276348417
19000,0,0,171.1747088712537411091658173
19250,0,0,172.2971780056192130054729893
19500,0,0,173.4123817385644235305786230
19750,0,0,174.5204593501379448778527779
20000,0,0,175.6215457263849209760079040
20250,0,0,176.7157715510029641562319656
20500,0,0,177.8032634863821262003573577
20750,0,0,178.8841443447389115593819456
21000,0,0,179.9585332499988598017387423
21250,0,0,181.0265457910317197713008654
21500,0,0,182.0882941667971772539689689
21750,0,0,183.1438873239170431458049419
22000,0,0,184.1934310871513698637925713
22250,0,0,185.2370282832207917462469510
22500,0,0,186.2747788583851692374866832
22750,0,0,187.3067799901590782896298548
23000,0,0,188.3331261935175761865252425
23250,0,0,189.3539094219207691376284353
23500,0,0,190.3692191634628045397092976
23750,0,0,191.3791425324298310576733696
24000,0,0,192.3837643565320499542507130
24250,0,0,193.3831672600570747825563173
24500,0,0,194.3774317431752913510609573
24750,0,0,195.3666362576126462764985823
25000,0,0,196.3508572788921823958132952
25250,0,0,197.3301693753325849941399002
25500,0,0,198.3046452739799155820800613
25750,0,0,199.2743559236375094188251889
26000,0,0,200.2393705551486261234742549
26250,0,0,201.1997567390768031942188430
26500,0,0,202.1555804409199097026063576
26750,0,0,203.1069060739855768842018258
27000,0,0,204.0537965500479437131618100
27250,0,0,204.9963133278984531288216959
27500,0,0,205.9345164598967266538604275
27750,0,0,206.8684646366212935780549776
28000,0,0,207.7982152297141208074065082
28250,0,0,208.7238243330074489754453046
28500,0,0,209.6453468020163602396438238
28750,0,0,210.5628362918757565306978082
29000,0,0,211.4763452937959892857805222
29250,0,0,212.3859251701072302890830400
29500,0,0,213.2916261879587874048463002
29750,0,0,214.1934975517359296284100506
30000,0,0,215.0915874342533754293347469
30250,0,0,215.9859430067814006353946247
30500,0,0,216.8766104679575221931791832
30750,0,0,217.7636350716338982852300696
31000,0,0,218.6470611537079407904490228
31250,0,0,219.5269321579811512200098799
31500,0,0,220.4032906610888552105810107
31750,0,0,221.2761783965413133910488773
