collateral_token_price,max_borrowings_to_be_liquidated,max_borrowings_to_be_liquidated_at_interval,amm_borrowings_token_supply
500,161591.8132883091260365382060,2455.0963165795715867297846,2.569801111032340802400502769
750,159136.7169717295544498084213,2455.0963165795715867297847,3.147350731233266886305828412
1000,156681.6206551499828630786368,2455.0963165795715867297845,3.634247583823384254291998266
1250,154226.5243385704112763488524,2455.0963165795715867297844,4.063212322246726125691612141
1500,151771.4280219908396896190679,2455.0963165795715867297845,4.451026089654963990844721023
1750,149316.3317054112681028892834,2455.0963165795715867297845,4.807657654817019740359017235
2000,146862.1174716822677439779956,2454.2142337290003589112878,5.139602222064681604801005535
2250,144407.9145729670079928441129,2454.2028987152597511338827,5.451371375735076381437997399
2500,141953.7116742517482417102302,2454.2028987152597511338827,5.746249972922798796713059774
2750,139499.5087755364884905763477,2454.2028987152597511338825,6.026717815398925121208822487
3000,137045.3058768212287394424647,2454.2028987152597511338830,6.294701462466533772611656828
3250,134591.1029781059689883085820,2454.2028987152597511338827,6.551733005603162220157944236
3500,132136.9000793907092371746992,2454.2028987152597511338828,6.799054658689057212583209268
3750,129682.6971806754494860408164,2454.2028987152597511338828,7.037690184071255268019227949
4000,127228.4942819601897349069339,2454.2028987152597511338825,7.268495167646768508583996532
4250,124774.2913832449299837730511,2454.2028987152597511338828,7.492193328874792993109625132
4500,122320.0884845296702326391686,2454.2028987152597511338825,7.709403333097022407201508304
4750,119865.8855858144104815052858,2454.2028987152597511338828,7.920658976846497537785346279
5000,117411.6826870991507303714029,2454.2028987152597511338829,8.126424644493452251383224279
5250,114957.4797883838909792375204,2454.2028987152597511338825,8.327107323540513753502582317
5500,112503.2768896686312281036376,2454.2028987152597511338828,8.523066071132710924086279420
5750,110049.0739909533714769697549,2454.2028987152597511338827,8.714619563011635654870129459
6000,107594.8710922381117258358723,2454.2028987152597511338826,8.902052179309927981689442046
6250,105140.6681935228519747019895,2454.2028987152597511338828,9.085618959558460635729995665
6500,102686.4652948075922235681067,2454.2028987152597511338828,9.265549673571433147294541072
6750,100232.2623960923324724342239,2454.2028987152597511338828,9.442052193699800658917485240
7000,97778.05949737707272130034138,2454.20289871525975113388252,9.615315309634039480718034475
7250,95323.85659866181297016645864,2454.20289871525975113388274,9.785511094409646170219303669
7500,92869.78112437356909646828698,2454.07547428824387369817166,9.952796906093572937073967729
7750,90415.76446625631119579162590,2454.01665811725790067666108,10.11731709145647585913103163
8000,87961.75207407406617500284190,2454.01239218224502078878400,10.27920444412936320960201107
8250,85507.73968189182115421405796,2454.01239218224502078878394,10.43858145915144820280009830
8500,83053.72728970957613342527398,2454.01239218224502078878398,10.59556141761595868646643200
